,feature_id,,,,,,function,,,,,
,fig|6666666.25437.peg.57,,,,,,FIG001553: Hydrolase HAD subfamily IIIA,,,,,
,fig|6666666.25437.peg.58,,,,,,GTP-binding protein YqeH required for biogenesis of 30S ribosome subunit,,,,,
,fig|6666666.25437.peg.59,,,,,,FIG004454: RNA binding protein,,,,,
,fig|6666666.25437.peg.60,,,,,,Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18),,,,,
,fig|6666666.25437.peg.61,,,,,,Hydrolase (HAD superfamily) YqeK,,,,,
,fig|6666666.25437.peg.62,,,,,,Iojap protein,,,,,
,fig|6666666.25437.peg.63,,,,,,FIG145533: Methyltransferase (EC 2.1.1.-),,,,,
,fig|6666666.25437.peg.64,,,,,,FIG007079: UPF0348 protein family,,,,,
,fig|6666666.25437.peg.65,,,,,,COG1399 protein in cluster with ribosomal protein L32p Firmicutes subfamily,,,,,
,fig|6666666.25437.peg.66,,,,,,LSU ribosomal protein L32p,,,,,
,fig|6666666.25437.peg.67,,,,,,Inner membrane protein translocase component YidC OxaA protein,,,,,
,fig|6666666.25437.peg.68,,,,,,Predicted nucleoside phosphatase,,,,,
,fig|6666666.25437.peg.69,,,,,,FIG011178: rRNA methylase,,,,,
,fig|6666666.25437.peg.70,,,,,,FIG005986: HD family hydrolase,,,,,
,fig|6666666.25437.peg.71,,,,,,Transcriptional regulator MarR family,,,,,
,fig|6666666.25437.peg.72,,,,,,Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20),,,,,
,fig|6666666.25437.peg.73,,,,,,Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20),,,,,
,fig|6666666.25437.peg.74,,,,,,FIG004453: protein YceG like,,,,,
,fig|6666666.25437.peg.75,,,,,,Uridine kinase (EC 2.7.1.48) [C1],,,,,
,fig|6666666.25437.peg.76,,,,,,Transcription elongation factor GreA,,,,,
,fig|6666666.25437.peg.77,,,,,,transmembrane protein Tmp5,,,,,
,fig|6666666.25437.peg.78,,,,,,Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129),,,,,
,fig|6666666.25437.peg.79,,,,,,5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2),,,,,
,fig|6666666.25437.peg.80,,,,,,GlpG protein (membrane protein of glp regulon),,,,,
,fig|6666666.25437.peg.81,,,,,,FIG00743953: hypothetical protein,,,,,
,fig|6666666.25437.peg.82,,,,,,Glucokinase (EC 2.7.1.2),,,,,
,fig|6666666.25437.peg.83,,,,,,Rhodanese-like domain protein,,,,,
,fig|6666666.25437.peg.84,,,,,,hypothetical protein,,,,,
,fig|6666666.25437.peg.85,,,,,,tRNA delta(2)-isopentenylpyrophosphate transferase (EC 2.5.1.8),,,,,
,fig|6666666.25437.peg.86,,,,,,dUTPase,,,,,
,fig|6666666.25437.rna.11,,,,,,tRNA-Arg-TCT,,,,,
,fig|6666666.25437.peg.87,,,,,,LSU ribosomal protein L21p,,,,,
,fig|6666666.25437.peg.88,,,,,,FIG139598: Potential ribosomal protein,,,,,
,fig|6666666.25437.peg.89,,,,,,LSU ribosomal protein L27p,,,,,
,fig|6666666.25437.peg.90,,,,,,Translation elongation factor P,,,,,
,fig|6666666.25437.peg.91,,,,,,Alkaline shock protein,,,,,
,fig|6666666.25437.peg.92,,,,,,Transcription termination protein NusB,,,,,
,fig|6666666.25437.peg.93,,,,,,Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5) / Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9),,,,,
,fig|6666666.25437.peg.94,,,,,,Exodeoxyribonuclease VII large subunit (EC 3.1.11.6),,,,,
,fig|6666666.25437.peg.95,,,,,,Exodeoxyribonuclease VII small subunit (EC 3.1.11.6),,,,,
,fig|6666666.25437.peg.96,,,,,,Octaprenyl-diphosphate synthase (EC 2.5.1.-) / Dimethylallyltransferase (EC 2.5.1.1) / Geranyltranstransferase (farnesyldiphosphate synthase) (EC 2.5.1.10) / Geranylgeranyl pyrophosphate synthetase (EC 2.5.1.29),,,,,
,fig|6666666.25437.peg.97,,,,,,RNA binding methyltransferase FtsJ like,,,,,
,fig|6666666.25437.peg.98,,,,,,DNA repair protein RecN,,,,,
,fig|6666666.25437.peg.99,,,,,,Guanylate kinase (EC 2.7.4.8),,,,,
,fig|6666666.25437.peg.100,,,,,,DNA-directed RNA polymerase omega subunit (EC 2.7.7.6),,,,,
,fig|6666666.25437.peg.101,,,,,,Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36) / Phosphopantothenoylcysteine synthetase (EC 6.3.2.5),,,,,
,fig|6666666.25437.peg.102,,,,,,Helicase PriA essential for oriC/DnaA-independent DNA replication,,,,,
,fig|6666666.25437.peg.103,,,,,,Methionyl-tRNA formyltransferase (EC 2.1.2.9),,,,,
,fig|6666666.25437.peg.104,,,,,,Ribosomal RNA small subunit methyltransferase B (EC 2.1.1.-),,,,,
,fig|6666666.25437.peg.105,,,,,,Ribosome small subunit-stimulated GTPase EngC,,,,,
,fig|6666666.25437.peg.106,,,,,,Ribulose-phosphate 3-epimerase (EC 5.1.3.1),,,,,
,fig|6666666.25437.peg.107,,,,,,Thiamin pyrophosphokinase (EC 2.7.6.2),,,,,
,fig|6666666.25437.peg.108,,,,,,LSU ribosomal protein L28p,,,,,
,fig|6666666.25437.peg.109,,,,,,FIG001802: Putative alkaline-shock protein,,,,,
,fig|6666666.25437.peg.110,,,,,,Dihydroxyacetone kinase family protein,,,,,
,fig|6666666.25437.peg.111,,,,,,ATP-dependent DNA helicase RecG (EC 3.6.1.-),,,,,
,fig|6666666.25437.peg.112,,,,,,Phosphate:acyl-ACP acyltransferase PlsX,,,,,
,fig|6666666.25437.peg.113,,,,,,Acyl carrier protein,,,,,
,fig|6666666.25437.peg.114,,,,,,Ribonuclease III (EC 3.1.26.3),,,,,
,fig|6666666.25437.peg.115,,,,,,Chromosome partition protein smc,,,,,
,fig|6666666.25437.peg.116,,,,,,Signal recognition particle receptor protein FtsY (=alpha subunit) (TC 3.A.5.1.1),,,,,
,fig|6666666.25437.peg.117,,,,,,Signal recognition particle associated protein,,,,,
,fig|6666666.25437.peg.118,,,,,,Signal recognition particle subunit Ffh SRP54 (TC 3.A.5.1.1),,,,,
,fig|6666666.25437.peg.119,,,,,,SSU ribosomal protein S16p,,,,,
,fig|6666666.25437.peg.120,,,,,,KH domain RNA binding protein YlqC,,,,,
,fig|6666666.25437.peg.121,,,,,,16S rRNA processing protein RimM,,,,,
,fig|6666666.25437.peg.122,,,,,,tRNA (Guanine37-N1) -methyltransferase (EC 2.1.1.31),,,,,
,fig|6666666.25437.peg.123,,,,,,LSU ribosomal protein L19p,,,,,
,fig|6666666.25437.peg.124,,,,,,Putative amino acid permease,,,,,
,fig|6666666.25437.peg.125,,,,,,Dipeptidase,,,,,
,fig|6666666.25437.peg.126,,,,,,Glycerol kinase (EC 2.7.1.30),,,,,
,fig|6666666.25437.peg.127,,,,,,tRNA and rRNA cytosine-C5-methylases,,,,,
,fig|6666666.25437.peg.128,,,,,,Isopentenyl-diphosphate delta-isomerase FMN-dependent (EC 5.3.3.2),,,,,
,fig|6666666.25437.peg.129,,,,,,Phosphomevalonate kinase (EC 2.7.4.2),,,,,
,fig|6666666.25437.peg.130,,,,,,Diphosphomevalonate decarboxylase (EC 4.1.1.33),,,,,
,fig|6666666.25437.peg.131,,,,,,Mevalonate kinase (EC 2.7.1.36),,,,,
,fig|6666666.25437.peg.132,,,,,,DinG family ATP-dependent helicase YoaA,,,,,
,fig|6666666.25437.peg.133,,,,,,hypothetical protein,,,,,
,fig|6666666.25437.peg.134,,,,,,DNA replication protein DnaD (Primosomal protein DnaD),,,,,
,fig|6666666.25437.rna.12,,,,,,tRNA-Ile-GAT,,,,,
,fig|6666666.25437.rna.13,,,,,,tRNA-Ala-TGC,,,,,
,fig|6666666.25437.rna.14,,,,,,Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA,,,,,
,fig|6666666.25437.peg.135,,,,,,Similar to ribosomal large subunit pseudouridine synthase D Bacillus subtilis YjbO type,,,,,
,fig|6666666.25437.peg.136,,,,,,NAD kinase (EC 2.7.1.23),,,,,
,fig|6666666.25437.peg.137,,,,,,GTP pyrophosphokinase (EC 2.7.6.5),,,,,
,fig|6666666.25437.peg.138,,,,,,hypothetical protein,,,,,
,fig|6666666.25437.peg.139,,,,,,oxidoreductase aldo/keto reductase family,,,,,
,fig|6666666.25437.peg.140,,,,,,Oligoendopeptidase F,,,,,
,fig|6666666.25437.peg.141,,,,,,Competence protein CoiA,,,,,
,fig|6666666.25437.peg.142,,,,,,Negative regulator of genetic competence MecA,,,,,
,fig|6666666.25437.peg.143,,,,,,Metal-dependent hydrolases of the beta-lactamase superfamily I; PhnP protein,,,,,
,fig|6666666.25437.peg.144,,,,,,Monooxygenase,,,,,
,fig|6666666.25437.rna.15,,,,,,tRNA-Asp-GTC,,,,,
,fig|6666666.25437.rna.16,,,,,,tRNA-Met-CAT,,,,,
,fig|6666666.25437.rna.17,,,,,,tRNA-Pseudo-TGA,,,,,
,fig|6666666.25437.rna.18,,,,,,tRNA-Met-CAT,,,,,
,fig|6666666.25437.rna.19,,,,,,tRNA-Met-CAT,,,,,
,fig|6666666.25437.rna.20,,,,,,tRNA-Pro-TGG,,,,,
,fig|6666666.25437.rna.21,,,,,,tRNA-Val-TAC,,,,,
,fig|6666666.25437.rna.22,,,,,,tRNA-Lys-TTT,,,,,
,fig|6666666.25437.rna.23,,,,,,tRNA-Thr-TGT,,,,,
,fig|6666666.25437.rna.24,,,,,,tRNA-Gly-GCC,,,,,
,fig|6666666.25437.rna.25,,,,,,tRNA-Leu-TAA,,,,,
,fig|6666666.25437.rna.26,,,,,,tRNA-Arg-ACG,,,,,
,fig|6666666.25437.rna.27,,,,,,Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA,,,,,
,fig|6666666.25437.peg.145,,,,,,hypothetical protein,,,,,
,fig|6666666.25437.peg.146,,,,,,3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9),,,,,
,fig|6666666.25437.peg.147,,,,,,Branched-chain amino acid transport system carrier protein,,,,,
,fig|6666666.25437.peg.148,,,,,,Histone acetyltransferase HPA2 and related acetyltransferases,,,,,
,fig|6666666.25437.peg.149,,,,,,hypothetical protein,,,,,
,fig|6666666.25437.peg.150,,,,,,hypothetical protein,,,,,
,fig|6666666.25437.rna.28,,,,,,Large Subunit Ribosomal RNA; lsuRNA; LSU rRNA,,,,,
,fig|6666666.25437.rna.29,,,,,,Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA,,,,,
,fig|6666666.25437.rna.30,,,,,,tRNA-Val-TAC,,,,,
,fig|6666666.25437.rna.31,,,,,,tRNA-Glu-TTC,,,,,
,fig|6666666.25437.rna.32,,,,,,tRNA-Pseudo-GGA,,,,,
,fig|6666666.25437.rna.33,,,,,,tRNA-Asn-GTT,,,,,
,fig|6666666.25437.rna.34,,,,,,tRNA-Pro-TGG,,,,,
,fig|6666666.25437.rna.35,,,,,,tRNA-Arg-ACG,,,,,
,fig|6666666.25437.peg.151,,,,,,Mobile element protein,,,,,
,fig|6666666.25437.peg.152,,,,,,Fibronectin/fibrinogen-binding protein,,,,,
,fig|6666666.25437.peg.153,,,,,,Transcriptional regulator,,,,,
,fig|6666666.25437.peg.154,,,,,,DegV family protein,,,,,
,fig|6666666.25437.peg.155,,,,,,Substrate-specific component FolT of folate ECF transporter,,,,,
,fig|6666666.25437.peg.156,,,,,,Hypothetical hydrolase,,,,,
,fig|6666666.25437.peg.157,,,,,,Predicted dye-decolorizing peroxidase (DyP) encapsulated subgroup,,,,,
,fig|6666666.25437.peg.158,,,,,,Peptide methionine sulfoxide reductase MsrA (EC 1.8.4.11),,,,,
,fig|6666666.25437.peg.159,,,,,,Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12),,,,,
,fig|6666666.25437.peg.160,,,,,,Manganese-dependent inorganic pyrophosphatase (EC 3.6.1.1),,,,,
,fig|6666666.25437.peg.161,,,,,,Transcriptional regulator,,,,,
,fig|6666666.25437.peg.162,,,,,,Topoisomerase IV subunit A (EC 5.99.1.-),,,,,
,fig|6666666.25437.peg.163,,,,,,Topoisomerase IV subunit B (EC 5.99.1.-),,,,,
,fig|6666666.25437.peg.164,,,,,,Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY,,,,,
,fig|6666666.25437.peg.165,,,,,,LacX protein plasmid,,,,,
,fig|6666666.25437.peg.166,,,,,,ATP-dependent hsl protease ATP-binding subunit HslU,,,,,
,fig|6666666.25437.peg.167,,,,,,ATP-dependent protease HslV (EC 3.4.25.-),,,,,
,fig|6666666.25437.peg.168,,,,,,Site-specific tyrosine recombinase,,,,,
,fig|6666666.25437.peg.169,,,,,,DNA topoisomerase I (EC 5.99.1.2),,,,,
,fig|6666666.25437.peg.170,,,,,,Rossmann fold nucleotide-binding protein Smf possibly involved in DNA uptake,,,,,
,fig|6666666.25437.peg.171,,,,,,Ribonuclease HII (EC 3.1.26.4),,,,,
,fig|6666666.25437.peg.172,,,,,,50S ribosomal subunit maturation GTPase RbgA (B. subtilis YlqF),,,,,
,fig|6666666.25437.peg.173,,,,,,FIG00743134: hypothetical protein,,,,,
,fig|6666666.25437.peg.174,,,,,,Dihydrofolate reductase (EC 1.5.1.3),,,,,
,fig|6666666.25437.peg.175,,,,,,Thymidylate synthase (EC 2.1.1.45),,,,,
,fig|6666666.25437.peg.176,,,,,,COG0488: ATPase components of ABC transporters with duplicated ATPase domains,,,,,
,fig|6666666.25437.peg.177,,,,,,tRNA nucleotidyltransferase (EC 2.7.7.21) (EC 2.7.7.25),,,,,
,fig|6666666.25437.peg.178,,,,,,Site-specific recombinase XerD,,,,,
,fig|6666666.25437.peg.179,,,,,,TPR-repeat-containing protein putative component of Menaquinone-cytochrome C reductase,,,,,
,fig|6666666.25437.peg.180,,,,,,DNA-binding protein HBsu,,,,,
,fig|6666666.25437.peg.181,,,,,,GTP-binding protein EngA,,,,,
,fig|6666666.25437.peg.182,,,,,,SSU ribosomal protein S1p,,,,,
,fig|6666666.25437.peg.183,,,,,,Cytidylate kinase (EC 2.7.4.14),,,,,
,fig|6666666.25437.peg.184,,,,,,hypothetical protein,,,,,
,fig|6666666.25437.peg.185,,,,,,ATP-dependent DNA helicase RecQ family,,,,,
,fig|6666666.25437.peg.186,,,,,,hypothetical protein,,,,,
,fig|6666666.25437.peg.187,,,,,,Substrate-specific component RibU of riboflavin ECF transporter,,,,,
,fig|6666666.25437.peg.188,,,,,,Ribosomal large subunit pseudouridine synthase B (EC 4.2.1.70),,,,,
,fig|6666666.25437.peg.189,,,,,,Segregation and condensation protein B,,,,,
,fig|6666666.25437.peg.190,,,,,,Segregation and condensation protein A,,,,,
,fig|6666666.25437.peg.191,,,,,,RibT protein,,,,,
,fig|6666666.25437.peg.192,,,,,,Tyrosine recombinase XerD,,,,,
,fig|6666666.25437.peg.193,,,,,,S1 RNA binding domain,,,,,
,fig|6666666.25437.peg.194,,,,,,Pyruvate kinase (EC 2.7.1.40),,,,,
,fig|6666666.25437.peg.195,,,,,,DNA polymerase III alpha subunit (EC 2.7.7.7),,,,,
,fig|6666666.25437.peg.196,,,,,,hypothetical protein,,,,,
,fig|6666666.25437.peg.197,,,,,,Tripeptide aminopeptidase (EC 3.4.11.4),,,,,
,fig|6666666.25437.peg.198,,,,,,hypothetical protein,,,,,
,fig|6666666.25437.peg.199,,,,,,Putative tRNA-m1A22 methylase,,,,,
,fig|6666666.25437.peg.200,,,,,,RNA polymerase sigma factor RpoD,,,,,
,fig|6666666.25437.peg.201,,,,,,DNA primase (EC 2.7.7.-),,,,,
,fig|6666666.25437.peg.202,,,,,,Glycyl-tRNA synthetase beta chain (EC 6.1.1.14),,,,,
,fig|6666666.25437.peg.203,,,,,,Glycyl-tRNA synthetase alpha chain (EC 6.1.1.14),,,,,
,fig|6666666.25437.peg.204,,,,,,DNA recombination and repair protein RecO,,,,,
,fig|6666666.25437.peg.205,,,,,,GTP-binding protein Era,,,,,
,fig|6666666.25437.peg.206,,,,,,Diacylglycerol kinase (EC 2.7.1.107),,,,,
,fig|6666666.25437.peg.207,,,,,,FIG000233: metal-dependent hydrolase,,,,,
,fig|6666666.25437.peg.208,,,,,,Phosphate starvation-inducible protein PhoH predicted ATPase,,,,,
,fig|6666666.25437.peg.209,,,,,,Transamidase GatB domain protein,,,,,
,fig|6666666.25437.peg.210,,,,,,SSU ribosomal protein S21p,,,,,
,fig|6666666.25437.peg.211,,,,,,ATP/GTP-binding protein SA1392 homolog,,,,,
,fig|6666666.25437.peg.212,,,,,,Endonuclease IV (EC 3.1.21.2),,,,,
,fig|6666666.25437.peg.213,,,,,,CDP-glycerol:poly(glycerophosphate) glycerophosphotransferase (EC 2.7.8.12),,,,,
,fig|6666666.25437.peg.214,,,,,,Teichoic acid translocation permease protein TagG,,,,,
,fig|6666666.25437.peg.215,,,,,,CDP-glycerol: N-acetyl-beta-D-mannosaminyl-14-N-acetyl-D-glucosaminyldiphosphoundecaprenyl glycerophosphotransferase,,,,,
,fig|6666666.25437.peg.216,,,,,,Integral membrane protein,,,,,
,fig|6666666.25437.peg.217,,,,,,Aspartyl-tRNA synthetase (EC 6.1.1.12),,,,,
,fig|6666666.25437.peg.218,,,,,,N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28),,,,,
,fig|6666666.25437.peg.219,,,,,,Ribulosamine/erythrulosamine 3-kinase potentially involved in protein deglycation,,,,,
,fig|6666666.25437.peg.220,,,,,,hypothetical protein,,,,,
,fig|6666666.25437.peg.221,,,,,,hydrolase HAD superfamily,,,,,
,fig|6666666.25437.peg.222,,,,,,D-tyrosyl-tRNA(Tyr) deacylase,,,,,
,fig|6666666.25437.peg.223,,,,,,GTP pyrophosphokinase (EC 2.7.6.5) (p)ppGpp synthetase I,,,,,
,fig|6666666.25437.peg.224,,,,,,Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.-),,,,,
,fig|6666666.25437.peg.225,,,,,,Ribosomal protein L11 methyltransferase (EC 2.1.1.-),,,,,
,fig|6666666.25437.peg.226,,,,,,FIG00743825: hypothetical protein,,,,,
,fig|6666666.25437.peg.227,,,,,,Lactoylglutathione lyase or related lyase,,,,,
,fig|6666666.25437.peg.228,,,,,,hypothetical protein,,,,,
,fig|6666666.25437.peg.229,,,,,,hypothetical protein,,,,,
,fig|6666666.25437.peg.230,,,,,,Nucleotidyltransferase/DNA polymerase for DNA repair,,,,,
,fig|6666666.25437.peg.231,,,,,,DNA-entry nuclease,,,,,
,fig|6666666.25437.peg.232,,,,,,DNA-entry nuclease (Competence-specific nuclease) (EC 3.1.30.-),,,,,
,fig|6666666.25437.peg.233,,,,,,Hypothetical integral membrane protein,,,,,
,fig|6666666.25437.peg.234,,,,,,hypothetical protein,,,,,
,fig|6666666.25437.peg.235,,,,,,acetyltransferase (putative),,,,,
,fig|6666666.25437.peg.236,,,,,,Translation elongation factor LepA,,,,,
,fig|6666666.25437.peg.237,,,,,,Chaperone protein DnaJ,,,,,
,fig|6666666.25437.peg.238,,,,,,Chaperone protein DnaK,,,,,
,fig|6666666.25437.peg.239,,,,,,Heat shock protein GrpE,,,,,
,fig|6666666.25437.peg.240,,,,,,Heat-inducible transcription repressor HrcA,,,,,
,fig|6666666.25437.peg.241,,,,,,Riboflavin kinase (EC 2.7.1.26) / FMN adenylyltransferase (EC 2.7.7.2),,,,,
,fig|6666666.25437.peg.242,,,,,,tRNA pseudouridine synthase B (EC 4.2.1.70),,,,,
,fig|6666666.25437.peg.243,,,,,,Ribosome-binding factor A,,,,,
,fig|6666666.25437.peg.244,,,,,,Translation initiation factor 2,,,,,
,fig|6666666.25437.peg.245,,,,,,ribosomal protein L7Ae family protein,,,,,
,fig|6666666.25437.peg.246,,,,,,COG2740: Predicted nucleic-acid-binding protein implicated in transcription termination,,,,,
,fig|6666666.25437.peg.247,,,,,,Transcription termination protein NusA,,,,,
,fig|6666666.25437.peg.248,,,,,,COG0779: clustered with transcription termination protein NusA,,,,,
,fig|6666666.25437.peg.249,,,,,,DNA polymerase III alpha subunit (EC 2.7.7.7),,,,,
,fig|6666666.25437.peg.250,,,,,,Prolyl-tRNA synthetase (EC 6.1.1.15),,,,,
,fig|6666666.25437.peg.251,,,,,,Membrane-associated zinc metalloprotease,,,,,
,fig|6666666.25437.peg.252,,,,,,Phosphatidate cytidylyltransferase (EC 2.7.7.41),,,,,
,fig|6666666.25437.peg.253,,,,,,Undecaprenyl pyrophosphate synthetase (EC 2.5.1.31),,,,,
,fig|6666666.25437.peg.254,,,,,,FIG00747865: hypothetical protein,,,,,
,fig|6666666.25437.peg.255,,,,,,Ribosome recycling factor,,,,,
,fig|6666666.25437.peg.256,,,,,,Uridylate kinase (EC 2.7.4.-),,,,,
,fig|6666666.25437.peg.257,,,,,,Translation elongation factor Ts,,,,,
,fig|6666666.25437.peg.258,,,,,,SSU ribosomal protein S2p (SAe),,,,,
,fig|6666666.25437.peg.259,,,,,,Predicted hydrolase (HAD superfamily),,,,,
,fig|6666666.25437.peg.260,,,,,,hypothetical protein,,,,,
,fig|6666666.25437.peg.261,,,,,,Lipoteichoic acid synthase LtaS Type IIa,,,,,
,fig|6666666.25437.peg.262,,,,,,Integral membrane protein LafC accessory function in glycolipid and LTA synthesis,,,,,
,fig|6666666.25437.peg.263,,,,,,Glycosyltransferase LafB responsible for the formation of Gal-Glc-DAG,,,,,
,fig|6666666.25437.peg.264,,,,,,Glycosyltransferase LafA responsible for the formation of Glc-DAG,,,,,
